topic,winner_group,consistency_score,avg_alignment_score,avg_validity,n_questions,avg_jsd_threat_economic,avg_jsd_threat_it_system,avg_jsd_threat_legal,most_disruptive_threat,most_effective_threat_validity,most_effective_threat_consistency
INDUSTRY,None,0.0,,0.0,1,0.0098,0.0026,0.0077,Economic,Economic,Economic
PREDICT,Tie,0.25,0.7835,0.5,4,0.0012,0.0008,0.0009,Economic,Economic,Economic
CARS,Tie,0.2941,0.7848,0.1765,17,0.0048,0.0022,0.0058,Legal,Legal,Economic
WORK,Conservative,0.3846,0.772,0.0,13,0.0031,0.0018,0.0025,Economic,IT_System,IT_System
ROBJOB,Liberal,0.3478,0.7835,0.6087,23,0.0027,0.0018,0.0029,Legal,Economic,Legal
CAREGIV,Liberal,0.5,0.8216,0.5,12,0.0074,0.0014,0.0076,Legal,Legal,IT_System
HIRING,Democrat,0.3636,0.7393,0.5455,11,0.0037,0.0015,0.0045,Legal,Legal,Legal
VOICE,Tie,0.2857,0.7713,0.0,7,0.0027,0.0051,0.0034,IT_System,IT_System,Legal
DRONE,Conservative,0.4286,0.7606,0.0,7,0.0021,0.0008,0.0036,Legal,Legal,Legal
PERSDISCR,Democrat,1.0,0.7268,0.0,1,0.0005,0.001,0.0012,Legal,Economic,Economic
NOWSMK_NHIS,Moderate,1.0,0.711,0.0,1,0.0054,0.0017,0.0035,Economic,Economic,Economic
BLOODPR,Republican,1.0,0.9443,0.0,1,0.0013,0.0087,0.0012,IT_System,Economic,Economic
DIFF,Liberal,0.8,0.7516,0.0,5,0.0074,0.0075,0.0083,Legal,Economic,Economic
MASC,Moderate,0.5,0.7603,0.0,4,0.0087,0.0036,0.0078,Economic,Economic,Economic
FEM,Republican,0.5,0.7093,0.0,4,0.0093,0.0032,0.0082,Economic,Economic,Economic
GOODJOBS,Republican,1.0,0.6054,0.0,1,0.0122,0.0001,0.0162,Legal,Economic,Economic
HELPHURT,Tie,0.2857,0.772,0.0,7,0.0027,0.0015,0.0022,Economic,Economic,Economic
TRANSGEND,Tie,0.3333,0.8302,0.0,3,0.0034,0.0008,0.0024,Economic,Economic,Economic
SEENMASC,Republican,1.0,0.8157,0.0,1,0.0066,0.0023,0.0044,Economic,Economic,Economic
SEENFEM,Republican,1.0,0.8681,0.0,1,0.006,0.0023,0.0036,Economic,Economic,Economic
MA,Democrat,0.6667,0.7227,0.0,6,0.0177,0.0057,0.02,Legal,Legal,Legal
MESUM,Tie,0.3333,0.8495,0.0,12,0.0045,0.0005,0.0018,Economic,Legal,Legal
TRAITS,Democrat,0.5,0.8144,0.0,6,0.0068,0.0008,0.0068,Legal,Economic,Economic
BOYSF,Liberal,0.75,0.6303,0.0,4,0.0019,0.0016,0.0009,Economic,Economic,Economic
GIRLSF,Republican,1.0,0.6171,0.0,4,0.0019,0.0015,0.0011,Economic,Economic,Economic
SPOUSESEX,Tie,0.5,0.6734,0.0,2,0.0018,0.0002,0.0012,Economic,IT_System,IT_System
HOOD_NHIS,Tie,0.3333,0.8572,0.0,3,0.0052,0.0018,0.0068,Legal,IT_System,IT_System
LOCALELECT,Moderate,1.0,0.9375,0.0,1,0.006,0.002,0.007,Legal,Economic,Economic
PARTICIPATE,Tie,0.3333,0.7044,0.3333,3,0.0178,0.0033,0.019,Legal,Economic,Economic
S,Moderate,0.6667,0.7593,0.3333,3,0.01,0.003,0.0081,Economic,IT_System,IT_System
TALK_CPS,Liberal,1.0,0.8934,0.0,1,0.0143,0.0094,0.0103,Economic,Economic,Economic
FAVORS_CPS,Republican,1.0,0.7313,0.0,1,0.0092,0.0032,0.004,Economic,Economic,Economic
WORRYRET,Liberal,1.0,0.9002,0.0,1,0.0076,0.001,0.006,Economic,Economic,Economic
WORRYBILL,Moderate,1.0,0.824,0.0,1,0.0078,0.0019,0.0056,Economic,Economic,Economic
GOPDIRCT,Liberal,1.0,0.8276,0.0,1,0.0065,0.0041,0.004,Economic,Economic,Economic
DEMDIRCT,Moderate,1.0,0.8195,0.0,1,0.0104,0.0054,0.0065,Economic,Economic,Economic
SATLIFE,Republican,0.8889,0.8318,0.0,9,0.054,0.0268,0.0455,Economic,Economic,Economic
SOCTRUST,Liberal,0.5,0.7806,0.0,4,0.0166,0.0019,0.0163,Economic,Economic,Economic
COMMYRS,Liberal,1.0,0.599,0.0,1,0.0068,0.0046,0.0118,Legal,Economic,Economic
COMATTACH,Independent,1.0,0.8351,0.0,1,0.0057,0.0006,0.0039,Economic,Economic,Economic
FEEL,Tie,0.5,0.8073,0.0,4,0.0017,0.0083,0.0029,IT_System,Economic,Economic
INC,Republican,1.0,0.877,0.0,1,0.0003,0.0049,0.0034,IT_System,Economic,Economic
INCFUTURE,Liberal,1.0,0.7538,0.0,1,0.0016,0.0023,0.0015,IT_System,Economic,Economic
COMMIMP,Democrat,0.375,0.8334,0.0,8,0.0077,0.0021,0.0051,Economic,IT_System,IT_System
FAMNEAR,Republican,1.0,0.8783,0.0,1,0.0215,0.0047,0.0144,Economic,Economic,Economic
SUCCESSIMP,Democrat,0.5,0.7312,0.0,4,0.003,0.0004,0.0018,Economic,Legal,Legal
FEDSHARE,Tie,0.3333,0.7763,0.0,3,0.0045,0.0005,0.0025,Economic,IT_System,IT_System
LOCALPROB,Democrat,0.8182,0.7574,0.0,11,0.0059,0.001,0.0044,Economic,Legal,Legal
LOCALPROBL_F,Democrat,1.0,0.8646,0.0,1,0.004,0.0001,0.0026,Economic,Economic,Legal
LOCALPROBM_F,Democrat,1.0,0.7696,0.0,1,0.009,0.0014,0.008,Economic,Economic,Economic
JOBSFUTURE,Conservative,1.0,0.8186,0.0,1,0.0145,0.0025,0.0097,Economic,Economic,Economic
HARASS,Republican,0.2632,0.8305,0.4737,19,0.0018,0.0005,0.0013,Economic,Legal,Legal
GROWUPNEAR,Conservative,1.0,0.6213,0.0,1,0.0137,0.0019,0.0192,Legal,Economic,Economic
LIFELOC,Republican,1.0,0.8802,0.0,1,0.0012,0.0035,0.0005,IT_System,Economic,Economic
VALUEURBAN,Democrat,1.0,0.7655,0.0,1,0.0194,0.007,0.0184,Economic,Economic,Economic
VALUESUBURB,Conservative,1.0,0.8277,0.0,1,0.0148,0.0041,0.0146,Economic,Economic,Economic
VALUERURAL,Republican,1.0,0.8434,0.0,1,0.0209,0.0071,0.0191,Economic,IT_System,IT_System
NEIGHKNOW,Republican,1.0,0.7542,0.0,1,0.0151,0.0007,0.014,Economic,IT_System,IT_System
NEIGHINTER,Conservative,0.75,0.6136,0.0,4,0.0181,0.0024,0.0163,Economic,IT_System,IT_System
NEIGHKEYS,Moderate,1.0,0.8463,0.0,1,0.0087,0.0043,0.0176,Legal,IT_System,IT_System
NEIGHKIDS,Moderate,1.0,0.8868,0.0,1,0.0025,0.0,0.0013,Economic,IT_System,IT_System
NEIGHSAME,Republican,0.6667,0.8374,0.0,3,0.0106,0.003,0.0137,Legal,IT_System,IT_System
IMMCOMM,Democrat,1.0,0.8674,0.0,1,0.0199,0.0004,0.0238,Legal,IT_System,IT_System
IMMIMPACT,Independent,1.0,0.8951,0.0,1,0.0016,0.0004,0.001,Economic,IT_System,IT_System
GROWUPUSR,Democrat,1.0,0.6013,0.0,1,0.0072,0.0022,0.0063,Economic,Economic,Economic
COMTYPE,Democrat,1.0,0.5604,0.0,1,0.0079,0.0023,0.0106,Legal,Economic,Economic
CITYSIZE,Democrat,1.0,0.891,0.0,1,0.0039,0.0002,0.005,Legal,Economic,Economic
SUBURBNEAR,Democrat,1.0,0.8833,0.0,1,0.0067,0.0011,0.0046,Economic,Economic,Economic
PROBURBAN,Moderate,1.0,0.8366,0.0,1,0.0056,0.0,0.0031,Economic,Legal,Legal
PROBSUBURB,Moderate,1.0,0.8204,0.0,1,0.005,0.0,0.0027,Economic,IT_System,Economic
PROBRURAL,Independent,1.0,0.8541,0.0,1,0.006,0.0,0.0031,Economic,Legal,Economic
WANTMOVE,Democrat,1.0,0.8692,0.0,1,0.0004,0.0007,0.0007,Legal,Economic,Economic
WILLMOVE,Independent,1.0,0.8932,0.0,1,0.004,0.0006,0.005,Legal,Economic,Economic
MOVEURBAN,Democrat,1.0,0.8864,0.0,1,0.0013,0.0002,0.0022,Legal,Economic,Economic
MOVESUBURB,Democrat,1.0,0.9047,0.0,1,0.0015,0.0004,0.0025,Legal,Economic,Economic
MOVERURAL,Republican,1.0,0.9174,0.0,1,0.0016,0.0002,0.0029,Legal,Economic,Economic
ETHNCMAJ,Democrat,1.0,0.7999,0.0,1,0.0138,0.0065,0.006,Economic,Economic,Economic
IMMCULT,Conservative,1.0,0.7563,0.0,1,0.0003,0.0003,0.0003,Economic,Economic,Economic
MARRFAM,Republican,1.0,0.7019,0.0,2,0.0029,0.0009,0.0016,Economic,Economic,Economic
ECONFAIR,Independent,1.0,0.9803,0.0,3,0.0059,0.0008,0.003,Economic,IT_System,IT_System
WOMENOPPS,Conservative,1.0,0.8181,0.0,1,0.0004,0.0001,0.0006,Legal,Economic,Economic
GOVT_ROLE,Liberal,1.0,0.7305,0.0,1,0.0023,0.0001,0.0004,Economic,Economic,Economic
WHADVANT,Democrat,1.0,0.8544,0.0,2,0.0099,0.0015,0.0092,Economic,Legal,Economic
GAYMARR,Moderate,1.0,0.8889,0.0,1,0.0073,0.0021,0.0042,Economic,Economic,Economic
ABORTION,Moderate,1.0,0.8675,0.0,1,0.0,0.0,0.0005,Legal,Economic,Economic
ABORTIONRESTR,Independent,1.0,0.9622,0.0,1,0.0005,0.0015,0.0,IT_System,Economic,Economic
ABORTIONALLOW,Republican,1.0,0.9799,0.0,1,0.0006,0.0009,0.0,IT_System,Economic,Economic
CLASS,Liberal,1.0,0.7972,0.0,1,0.0057,0.0021,0.007,Legal,IT_System,IT_System
MISINF,Democrat,1.0,0.797,0.0,2,0.0029,0.0002,0.002,Economic,Economic,Economic
SC,Republican,0.4167,0.8283,0.0,24,0.0018,0.0014,0.0013,Economic,IT_System,IT_System
EAT,Democrat,0.3571,0.8671,0.0714,14,0.0066,0.0025,0.0052,Economic,IT_System,IT_System
FUD,Tie,0.3,0.8286,0.1,10,0.008,0.0013,0.0058,Economic,IT_System,IT_System
MED,Democrat,0.2632,0.7922,0.2105,19,0.0086,0.0012,0.0063,Economic,Economic,IT_System
BIOTECH,Liberal,0.6,0.7264,0.0,5,0.0003,0.0002,0.0006,Legal,Legal,Economic
EVOONE,Moderate,1.0,0.9828,0.0,1,0.0027,0.0004,0.0018,Economic,Economic,Economic
EVOTWO,Moderate,1.0,0.8795,0.0,1,0.0002,0.0013,0.0002,IT_System,Economic,Economic
EVOTHREE,Democrat,1.0,0.9185,0.0,1,0.0005,0.0016,0.0,IT_System,Economic,Economic
EVOPERS,Tie,0.5,0.7891,0.0,2,0.0011,0.0005,0.0012,Legal,Legal,Economic
EVOBIO,Conservative,1.0,0.955,0.0,2,0.0047,0.0017,0.0017,Economic,Economic,Economic
BIO,Moderate,1.0,0.8379,0.0,1,0.0051,0.0025,0.009,Legal,Economic,Economic
G,Independent,1.0,0.8617,0.5,2,0.0018,0.0022,0.0018,IT_System,IT_System,IT_System
HAPPYLIFE,Republican,1.0,0.7688,0.0,1,0.0143,0.01,0.0141,Economic,Economic,Economic
ESSENPOLF,Republican,0.3333,0.7794,0.0,9,0.0015,0.0007,0.0006,Economic,Legal,Legal
ESSENBIZF,Republican,0.3333,0.7668,0.0,12,0.0028,0.0009,0.002,Economic,Economic,Legal
STYLE,Tie,0.5,0.7466,0.0,2,0.0064,0.0012,0.003,Economic,Economic,Economic
AMNTWMNPF,Republican,1.0,0.5223,0.0,1,0.0082,0.0,0.0047,Economic,Economic,Economic
AMNTWMN,Tie,0.5,0.7217,0.0,2,0.0049,0.0001,0.0012,Economic,Economic,Economic
AMNTWMNBF,Republican,1.0,0.4972,0.0,1,0.0085,0.0002,0.0049,Economic,Economic,Economic
EASIERBIZF,Republican,1.0,0.7778,0.0,1,0.0075,0.0002,0.0076,Legal,Economic,Economic
EASIERPOLF,Republican,1.0,0.8202,0.0,1,0.0059,0.0008,0.0031,Economic,Economic,Economic
EQUALPOLF,Independent,1.0,0.8396,0.0,1,0.0006,0.0007,0.0001,IT_System,Economic,Economic
EQUALBIZF,Independent,1.0,0.8421,0.0,1,0.0007,0.0031,0.0011,IT_System,Legal,Legal
IMPROVE,Independent,0.6667,0.8685,0.0,3,0.0124,0.0017,0.0145,Legal,Economic,Economic
WHYNOTPOLF,Independent,0.5,0.8571,0.1667,12,0.0001,0.0034,0.0002,IT_System,IT_System,Legal
WHYNOTBIZF,Independent,0.2857,0.829,0.9286,14,0.0002,0.0048,0.0007,IT_System,IT_System,Economic
HIGHED,Democrat,1.0,0.5956,0.0,1,0.0009,0.0,0.0002,Economic,IT_System,IT_System
HIGHEDWRNG,Republican,0.4,0.8929,0.0,5,0.0004,0.0047,0.0004,IT_System,Economic,Economic
BETTERPOL,Republican,0.6667,0.7239,0.0,15,0.0017,0.0017,0.0013,Economic,Economic,Economic
BETTERBIZ,Republican,0.7222,0.7182,0.0,18,0.0018,0.0003,0.0012,Economic,Legal,Legal
TRAITPOLWF,Independent,0.5714,0.87,0.0,7,0.0039,0.0008,0.0042,Legal,Legal,Economic
TRAITPOLMF,Tie,0.2857,0.8317,0.0,7,0.0036,0.0005,0.0045,Legal,Legal,Legal
POLCHF,Independent,1.0,0.9536,0.0,1,0.0089,0.0014,0.0064,Economic,Economic,Economic
TRAITBIZWF,Conservative,0.4286,0.8302,0.0,7,0.0053,0.001,0.0059,Legal,Legal,Economic
TRAITBIZMF,Conservative,0.4286,0.7763,0.0,7,0.0049,0.0006,0.0063,Legal,Legal,Legal
EXECCHF,Republican,1.0,0.7715,0.0,1,0.0114,0.0013,0.0076,Economic,IT_System,IT_System
WMNPRZ,Independent,1.0,0.8777,0.0,1,0.005,0.0019,0.0028,Economic,IT_System,IT_System
MOREWMN,Democrat,0.75,0.8679,0.0,4,0.0128,0.0043,0.0087,Economic,IT_System,IT_System
COLSPEECH,Democrat,1.0,0.7073,0.0,1,0.0001,0.0,0.001,Legal,Economic,Economic
E,Tie,0.5,0.9183,0.0,2,0.0045,0.0021,0.0039,Economic,IT_System,IT_System
EARN,Independent,1.0,0.9194,0.0,1,0.0066,0.0085,0.0065,IT_System,Economic,Economic
FERTIL,Liberal,1.0,0.8011,0.0,1,0.0042,0.0004,0.008,Legal,Economic,Economic
OPTIMIST,Moderate,1.0,0.8102,0.0,1,0.0193,0.0094,0.0165,Economic,Economic,Economic
AVGFAM,Republican,1.0,0.5949,0.0,1,0.0088,0.001,0.0068,Economic,Economic,Economic
HAPPEN,Democrat,0.3889,0.7414,0.0,18,0.0039,0.0004,0.0025,Economic,IT_System,IT_System
NATDEBT,Republican,1.0,0.8279,0.0,1,0.0028,0.0018,0.002,Economic,Economic,Economic
ENVC,Republican,1.0,0.638,0.0,1,0.0085,0.0012,0.0081,Economic,Economic,Economic
POPPROB,Republican,1.0,0.8991,0.0,1,0.002,0.0015,0.0008,Economic,Economic,Economic
FTRWORRY,Independent,0.5,0.8658,0.0,6,0.0233,0.0121,0.0188,Economic,Legal,Economic
ELDCARE,Conservative,1.0,0.4271,0.0,1,0.0038,0.0005,0.0023,Economic,Economic,Economic
ELDFINANCEF,None,0.0,,0.0,2,0.0007,0.0013,0.0009,IT_System,IT_System,IT_System
GOVPRIO,Tie,0.2,0.8374,0.2667,15,0.01,0.0031,0.0102,Legal,Economic,Legal
WRKTRN,None,0.0,,0.0,2,0.0031,0.0016,0.0038,Legal,Economic,Economic
JOBSECURITY,Republican,1.0,0.6043,0.0,1,0.0042,0.0005,0.0047,Legal,Economic,Economic
JOBBENEFITS,Republican,1.0,0.7262,0.0,1,0.0254,0.0018,0.0208,Economic,Economic,Economic
AUTOWKPLC,Republican,1.0,0.7356,0.0,1,0.0012,0.0012,0.0019,Legal,Economic,Economic
ROBWRK,Liberal,1.0,0.6779,0.0,2,0.0212,0.0028,0.0126,Economic,Economic,Economic
AUTOLKLY,Moderate,1.0,0.8239,0.0,1,0.0051,0.0003,0.0045,Economic,Economic,Economic
ROBIMPACT,Tie,0.5,0.7728,0.5,2,0.0063,0.001,0.0089,Legal,Economic,Economic
LEGALIMG,Liberal,1.0,0.6984,0.0,1,0.01,0.0046,0.0087,Economic,Economic,Economic
FUTRCLASS,Tie,0.3333,0.7595,0.0,3,0.0031,0.0005,0.003,Economic,Legal,Legal
ETHNCMAJMOD,Liberal,1.0,0.8069,1.0,1,0.0137,0.0017,0.0072,Economic,Economic,Economic
AGEMAJ,Democrat,1.0,0.7228,1.0,1,0.0156,0.0042,0.0071,Economic,Economic,Economic
INTRMAR,Liberal,1.0,0.8307,1.0,1,0.02,0.0078,0.0117,Economic,Economic,Economic
SSMONEY,Democrat,1.0,0.732,0.0,1,0.0051,0.0,0.0074,Legal,Economic,IT_System
SSCUT,Independent,1.0,0.5515,0.0,1,0.0021,0.0006,0.0008,Economic,IT_System,IT_System
FUTR_ABR,Republican,1.0,0.7959,0.0,1,0.0085,0.0038,0.0056,Economic,Economic,Economic
FUTR_DIV,Republican,1.0,0.7902,0.0,1,0.0135,0.0011,0.0141,Legal,Economic,Economic
FUTR_,Moderate,1.0,0.5555,0.0,2,0.0157,0.0008,0.0171,Legal,Economic,Economic
SOLVPROB,Democrat,0.4444,0.8148,0.6667,9,0.0068,0.001,0.0058,Economic,Legal,Legal
PAST,Moderate,1.0,0.7817,0.0,1,0.0024,0.0014,0.0014,Economic,Economic,Economic
FUTURE,Independent,1.0,0.8463,0.0,1,0.0046,0.0056,0.0017,IT_System,Economic,Economic
CONF,Moderate,0.5,0.8207,0.0,8,0.011,0.0007,0.0074,Economic,IT_System,Legal
POLICY,Conservative,0.5,0.8355,0.0,4,0.0057,0.001,0.0039,Economic,IT_System,IT_System
RQ,Liberal,0.3111,0.795,0.0,45,0.0076,0.0009,0.0065,Economic,Legal,Legal
P,Independent,0.2807,0.7991,0.0,57,0.0081,0.0014,0.0071,Economic,Legal,IT_System
Q,Tie,0.375,0.7638,0.0,8,0.0077,0.0011,0.0042,Economic,Legal,Legal
PO,Tie,0.25,0.7334,0.0,4,0.0055,0.0024,0.0036,Economic,Economic,Economic
RACESURV,Democrat,0.2772,0.7883,0.1089,101,0.007,0.002,0.0065,Economic,Legal,Legal
ADMISSION,Democrat,0.75,0.7376,0.0,8,0.0026,0.0009,0.0026,Legal,IT_System,IT_System
RACATTN,Conservative,1.0,0.7376,0.0,1,0.003,0.0015,0.002,Economic,Economic,Economic
IDIMPORT,Democrat,1.0,0.8449,0.0,5,0.0043,0.0014,0.0046,Legal,Economic,Economic
NEWS_PLATFORM,Tie,0.5,0.8837,1.0,2,0.0013,0.001,0.0018,Legal,IT_System,IT_System
NEWSPREFV,None,0.0,,0.0,1,0.011,0.0062,0.0127,Legal,Economic,Economic
SOURCESKEP,Democrat,0.6,0.7647,0.0,5,0.0268,0.0028,0.0163,Economic,IT_System,Economic
INFOCONFUSE,Tie,0.4,0.834,0.4,5,0.0209,0.0017,0.0166,Economic,Legal,Legal
INFOKNOW,Democrat,0.6,0.8033,0.0,5,0.0202,0.0003,0.0167,Economic,Legal,Legal
INFOOWN,Moderate,0.6,0.8801,0.0,5,0.0168,0.0002,0.0088,Economic,Economic,Economic
MEDIALOYAL,Democrat,1.0,0.7909,0.0,1,0.0005,0.0001,0.0013,Legal,Economic,Economic
LEAD,Moderate,1.0,0.9165,0.0,1,0.0032,0.0002,0.0025,Economic,Economic,Economic
SEEK,Independent,1.0,0.9845,0.0,1,0.0046,0.0004,0.001,Economic,Economic,Economic
INFORESTRICT,Independent,0.6,0.7437,0.4,5,0.0023,0.0001,0.001,Economic,Economic,Economic
INFOWHY,Tie,0.5,0.7817,0.0,4,0.0004,0.0013,0.0002,IT_System,Legal,Legal
INFOCREATE,Independent,0.4,0.8485,0.0,5,0.0377,0.0076,0.032,Economic,IT_System,IT_System
MADEUPOFT,Independent,1.0,0.7753,0.0,1,0.0014,0.0042,0.0045,Legal,IT_System,IT_System
MADEUPSHARE,Moderate,1.0,0.7894,0.0,2,0.0003,0.0078,0.0001,IT_System,Economic,Economic
MADEUPSHAREWHY,None,0.0,,0.0,1,0.0045,0.0001,0.0008,Economic,Economic,Economic
MADEUPTOPIC,Tie,0.3333,0.823,0.0,6,0.028,0.0034,0.021,Economic,IT_System,IT_System
MADEUPLEVEL,Tie,0.5,0.8397,0.0,2,0.0207,0.0007,0.0142,Economic,IT_System,IT_System
MADEUPRES,Tie,0.4,0.8173,0.0,5,0.0009,0.0009,0.001,Legal,Legal,Legal
MADEUPIMP,Moderate,0.6,0.8627,0.0,5,0.0084,0.0021,0.0076,Economic,IT_System,IT_System
MADEUPDIS,Moderate,1.0,0.8191,0.0,1,0.002,0.007,0.0038,IT_System,Economic,Economic
DISAVOID,Independent,1.0,0.9832,0.0,1,0.0014,0.0156,0.0002,IT_System,Economic,Economic
SMSHARER,Democrat,1.0,0.3178,0.0,1,0.0098,0.0018,0.0081,Economic,Economic,Economic
SMLIKES,Tie,0.5,0.8381,0.0,6,0.004,0.007,0.0022,IT_System,IT_System,Economic
SMSHARE,Moderate,1.0,0.7043,0.0,1,0.0164,0.0033,0.0227,Legal,Economic,Economic
MADEUPSMCLICK,Conservative,1.0,0.7546,0.0,1,0.0031,0.0006,0.0023,Economic,Economic,Economic
MADEUPSMFOL,Tie,0.5,0.9304,0.0,2,0.0011,0.0015,0.0008,IT_System,Economic,Economic
ONLINESOURCE,Moderate,1.0,0.9682,0.0,1,0.0056,0.0036,0.0044,Economic,Economic,Economic
DIGWDOG,Independent,1.0,0.8096,0.0,1,0.0059,0.0014,0.0028,Economic,Economic,Legal
NEWSPROB,Tie,0.4,0.8372,0.4,5,0.0118,0.0008,0.0068,Economic,Economic,Legal
VIDOFT,Democrat,1.0,0.8156,0.0,1,0.0011,0.0004,0.0025,Legal,IT_System,IT_System
MADEUPSOLVE,Democrat,1.0,0.5231,0.0,1,0.0101,0.0016,0.0056,Economic,Economic,Economic
INFOCHAL,Democrat,0.6,0.8786,0.0,5,0.017,0.0005,0.0131,Economic,Legal,Legal
RESTRICTWHO,None,0.0,,0.0,1,0.0048,0.0023,0.0035,Economic,Economic,Economic
ACCCHECK,Democrat,1.0,0.8286,0.0,1,0.016,0.0027,0.0116,Economic,IT_System,IT_System
FCFAIR,Liberal,1.0,0.8793,0.0,1,0.0017,0.0002,0.0007,Economic,Economic,Economic
WATCHDOG,Tie,0.5,0.5669,0.5,2,0.0048,0.0002,0.0035,Economic,Economic,Economic
SNSUSE,Conservative,1.0,0.768,0.0,1,0.0026,0.0122,0.0092,IT_System,Economic,Economic
SOCMEDIAUSE,Liberal,0.75,0.7138,0.0,4,0.0005,0.0003,0.0006,Legal,Economic,Economic
ELECTFTGSNSINT,Democrat,1.0,0.6875,0.0,1,0.0024,0.001,0.0003,Economic,Economic,Economic
TALKDISASNSINT,Moderate,1.0,0.4726,0.0,1,0.0139,0.0007,0.0088,Economic,Economic,Economic
TALKCMNSNSINT,Moderate,1.0,0.4691,0.0,1,0.0033,0.0004,0.0037,Legal,Economic,Economic
SECUR,Republican,1.0,0.4707,0.0,1,0.0088,0.0002,0.0041,Economic,Economic,Economic
PRIVACYNEWS,Conservative,1.0,0.8661,0.0,1,0.0033,0.0011,0.0039,Legal,Economic,Economic
HOMEASSIST,Liberal,1.0,0.7125,0.1667,6,0.0051,0.0015,0.0058,Legal,IT_System,IT_System
HOMEIOT,Moderate,1.0,0.7139,0.0,1,0.0005,0.0063,0.0045,IT_System,Legal,Economic
